lam,seed,full_median,chaos_median,n_chaos
0.0,42,1.6041666666666667,1.6041666666666667,50
0.0,7,2.0625,1.9166666666666665,48
0.0,13,1.8208333333333333,1.8083333333333333,49
0.0,21,1.4791666666666665,1.4791666666666665,50
0.0,100,1.7166666666666668,1.7,49
1.0,42,0.425,0.425,50
1.0,7,1.05,1.05,50
1.0,13,0.5541666666666667,0.5541666666666667,50
1.0,21,0.39583333333333337,0.39166666666666666,49
1.0,100,0.5583333333333333,0.5583333333333333,50
2.0,42,0.525,0.525,50
2.0,7,0.8291666666666666,0.8291666666666666,50
2.0,13,0.6458333333333333,0.6458333333333333,50
2.0,21,0.6833333333333333,0.6666666666666666,49
2.0,100,0.5333333333333333,0.5333333333333333,50
