n_train_trials,seed,n_samples,full_median,chaos_median,n_chaos
2,42,4796,0.24166666666666667,0.24166666666666667,50
2,7,4796,0.3208333333333333,0.3208333333333333,50
2,13,4796,0.3583333333333333,0.3583333333333333,50
5,42,11990,0.4916666666666667,0.4916666666666667,50
5,7,11990,1.05,1.05,50
5,13,11990,0.5541666666666667,0.5541666666666667,50
10,42,23980,2.0625,1.9041666666666668,48
10,7,23980,2.4625000000000004,2.45,49
10,13,23980,1.475,1.475,50
20,42,47960,2.166666666666667,1.9541666666666666,48
20,7,47960,2.425,1.925,41
20,13,47960,3.220833333333333,3.095833333333333,46
50,42,119900,5.1125,3.2916666666666665,39
50,7,119900,5.3916666666666675,2.7958333333333334,34
50,13,119900,6.0625,2.9749999999999996,36
