seed,n_chaos_legacy,n_chaos_fixed,n_chaos_intersect,ownchaos_legacy,ownchaos_fixed,intersect_legacy,intersect_fixed,err0_legacy_median,err0_fixed_median
42,32,29,29,0.23333333333333334,0.5666666666666667,0.2,0.5666666666666667,1.894837126253886,0.00023426154714286963
7,36,30,30,0.3833333333333333,0.7,0.3041666666666667,0.7,1.8904299916526695,0.00031544918454030804
13,30,25,25,0.55,0.6916666666666667,0.39166666666666666,0.6916666666666667,1.9116166405084751,0.0003293074015992429
21,34,31,31,0.4583333333333333,0.7,0.44166666666666665,0.7,1.9101570491342132,0.0002905132175647804
100,31,30,29,0.4583333333333333,0.9541666666666666,0.31666666666666665,0.95,1.8658356132813445,0.0003540053606291856
1,36,33,33,0.19583333333333336,0.35833333333333334,0.175,0.35833333333333334,1.8480497696081764,0.0003317967221602142
2,35,31,31,0.25833333333333336,0.7,0.19166666666666668,0.7,1.8973975626725386,0.0002875743570828595
3,35,33,33,0.16666666666666666,0.38333333333333336,0.16666666666666666,0.38333333333333336,1.8638962292692063,0.0003259797245093149
5,35,28,28,0.48333333333333334,0.5458333333333334,0.3,0.5458333333333334,1.892984351104273,0.0003811280231165343
8,38,32,32,0.425,1.275,0.4041666666666667,1.275,1.8982116492343948,0.000338461849115795
