lead_s,model,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens
2.0,PINN,29,0.3334724387013921,0.21675641929610379,0.8336794942131576,0.6376234657368572,0,0.0,1,0,0.3334724387013921,0,0,59.36737989894125,0.3334724387013921
2.0,Hybrid,29,0.6002789473683379,0.23344006098716363,1.0837823714879846,0.7284669304662436,0,0.0,1,0,0.6002789473683379,0,0,42.067944337220055,0.6002789473683379
2.0,MLP,29,0.3334713550225388,0.20008346322083526,0.5002087286527335,0.5030849220806698,0,0.0,1,0,0.3334713550225388,0,0,74.98960950116255,0.3334713550225388
4.0,PINN,29,0.41683998042572057,0.1500630702102299,0.7669872525912922,0.6663714232160634,0,0.0,1,0,0.41683998042572057,0,0,54.273128342067174,0.41683998042572057
4.0,Hybrid,29,0.48353503611701854,0.1667358988426315,0.9170491848880147,0.7135205218340527,0,0.0,1,0,0.48353503611701854,0,0,51.567216236560164,0.48353503611701854
4.0,MLP,29,0.2667771991355039,0.1500630702102299,0.7002902499703225,0.5433323992674366,0,0.0,1,0,0.2667771991355039,0,0,68.36572613078864,0.2667771991355039
8.0,PINN,29,0.5835756459492103,0.316813888888845,0.8336808287438657,0.6358994116219785,0,0.0,1,0,0.5835756459492103,0,0,28.998019046978335,0.5835756459492103
8.0,Hybrid,29,0.7169680455429877,0.4835356832027857,0.9670731191325928,0.782512243227127,0,0.0,1,0,0.7169680455429877,0,0,22.990504304315607,0.7169680455429877
8.0,MLP,29,0.4168402082498801,0.3167996010480465,0.6502973127499558,0.5485065567194272,0,0.0,1,0,0.4168402082498801,0,0,48.91413709757012,0.4168402082498801
16.0,PINN,29,0.8837009779039988,0.6169240986717046,1.850768400067011,1.097589273260643,0,0.0,1,0,0.8837009779039988,0,0,16.792907833529537,0.8837009779039988
16.0,Hybrid,29,1.0004197152738925,0.5502289107704144,1.5673253999735124,1.1251880005725554,0,0.0,1,0,1.0004197152738925,0,0,13.699383155326036,1.0004197152738925
16.0,MLP,29,0.983746053352661,0.6836163993184812,1.3506276315787602,1.148759611474173,0,0.0,1,0,0.983746053352661,0,0,18.659999822675832,0.983746053352661
32.0,PINN,29,1.2838689398116099,0.7336416765833462,1.917461398728264,1.3770146318881176,0,0.0,1,0,1.2838689398116099,0,0,12.025285531150095,1.2838689398116099
32.0,Hybrid,29,1.267195317216654,0.7669842528939057,1.7173774783660747,1.262599624892283,0,0.0,1,0,1.267195317216654,0,0,12.894429932779143,1.267195317216654
32.0,MLP,29,1.0504357355777758,0.7503106821788208,1.4172550811323958,1.1993540828119182,1,0.034482758620689655,1,1,1.0504357355777758,1,0,14.597678804158512,1.0170893135237464
64.0,PINN,29,2.1842377636761228,1.66736754777439,3.0179185418980543,2.2934976051169174,3,0.10344827586206896,1,1,2.1842377636761228,3,0,7.0341992506510955,2.1175485399831606
64.0,Hybrid,29,2.150891482051705,1.8174188848728363,2.7678278372597447,2.334889783611195,3,0.10344827586206896,1,1,2.150891482051705,3,0,8.506619073398854,2.0258427707425284
64.0,MLP,29,1.3505651841181257,1.0337642276423935,1.9508099352057684,1.5673269359406243,0,0.0,1,0,1.3505651841181257,0,0,16.56437790649361,1.3505651841181257
