stage,lead_s,seed,config_id,name,n_res,sr,leak,ridge,washout,n_clips,median,q1,q3,mean,n_censored,cens_rate,median_estimable,median_is_lower_bound,median_strict,n_censored_strict,n_clips_nonfinite,rms_median,median_uncens,rank_in_lead
Stage1,2.0,42,nres400_sr1.1_leak0.1_ridge1e-06_wo50,,400,1.1,0.1,1e-06,50,29,0.15006219642221197,0.0833683773887195,0.20008284858101888,0.22193239787331212,0,0.0,1,0,0.15006219642221197,0,0,104.90937112872896,0.15006219642221197,1.0
Stage1,2.0,42,nres800_sr0.9_leak0.1_ridge1e-06_wo50,,800,0.9,0.1,1e-06,50,29,0.15006210976014245,0.0833683773887195,0.20008319060434587,0.21100831172860063,0,0.0,1,0,0.15006210976014245,0,0,85.20578516396267,0.15006210976014245,2.0
Stage1,2.0,42,nres800_sr0.95_leak0.1_ridge1e-06_wo50,,800,0.95,0.1,1e-06,50,29,0.15006210976014245,0.10004153930557891,0.2167567898213747,0.21273317105158632,0,0.0,1,0,0.15006210976014245,0,0,76.2799311940129,0.15006210976014245,2.0
Stage1,2.0,42,nres800_sr0.7_leak0.1_ridge1e-06_wo50,,800,0.7,0.1,1e-06,50,29,0.13339532163740841,0.0833683773887195,0.16674290070511688,0.2046836672241813,0,0.0,1,0,0.13339532163740841,0,0,101.99081258663799,0.13339532163740841,4.0
Stage1,2.0,42,nres800_sr0.7_leak0.5_ridge0.0001_wo50,,800,0.7,0.5,0.0001,50,29,0.13338932910721724,0.08336785357542453,0.2167563807646502,0.3386474837475086,1,0.034482758620689655,1,1,0.13338932910721724,1,0,98.95109852168686,0.12505222914852965,5.0
Stage1,2.0,42,nres400_sr0.7_leak0.1_ridge1e-06_wo50,,400,0.7,0.1,1e-06,50,29,0.13338929536985233,0.08336830835119713,0.20008318890816668,0.2472302115243492,0,0.0,1,0,0.13338929536985233,0,0,112.16267793900023,0.13338929536985233,6.0
Stage1,2.0,42,nres800_sr0.9_leak0.25_ridge1e-06_wo50,,800,0.9,0.25,1e-06,50,29,0.13338929536985233,0.0833683160652754,0.18340999518487422,0.38119381510675493,1,0.034482758620689655,1,1,0.13338929536985233,1,0,90.69476775266413,0.13338914483862396,6.0
Stage1,2.0,42,nres800_sr0.95_leak0.25_ridge1e-06_wo50,,800,0.95,0.25,1e-06,50,29,0.13338929536985233,0.0833683160652754,0.21676577091665195,0.40591679394777,1,0.034482758620689655,1,1,0.13338929536985233,1,0,90.29961225634285,0.13338914483862396,6.0
Stage1,2.0,42,nres400_sr0.9_leak0.1_ridge1e-06_wo50,,400,0.9,0.1,1e-06,50,29,0.13338915398697537,0.08336830835119713,0.20008363111077188,0.24780515352101495,0,0.0,1,0,0.13338915398697537,0,0,107.95243789522617,0.13338915398697537,9.0
Stage1,2.0,42,nres400_sr0.95_leak0.1_ridge1e-06_wo50,,400,0.95,0.1,1e-06,50,29,0.13338915398697537,0.08336812144212224,0.20008363111077188,0.2443554367088274,0,0.0,1,0,0.13338915398697537,0,0,98.43533487584753,0.13338915398697537,9.0
