trial,model,level,rep,sigma_theta_deg,sigma_omega,dth1_deg,dw1,dth2_deg,dw2,horizon_s,censored
0,PINN,clean,0,0.0,0.0,0.0,0.0,0.0,0.0,5.841666666666667,0
0,PINN,th0.1,0,0.1,0.0,0.13554268413319748,-0.0,0.014578655136714355,0.0,3.325,0
0,PINN,th0.1,1,0.1,0.0,0.005039497962126369,-0.0,0.1343270690429106,0.0,5.6,0
0,PINN,th0.1,2,0.1,0.0,0.09658000258891208,0.0,0.03737359124764451,0.0,3.5833333333333335,0
0,PINN,th0.1,3,0.1,0.0,0.09451471837212104,0.0,-0.016120413380212396,0.0,3.3333333333333335,0
0,PINN,th0.1,4,0.1,0.0,0.12388872114177615,0.0,0.07718992629771083,0.0,3.591666666666667,0
0,PINN,th0.1,5,0.1,0.0,-0.06159369392568427,0.0,-0.07117356985942638,-0.0,5.841666666666667,0
0,PINN,th0.1,6,0.1,0.0,0.043534242607831064,-0.0,0.13662466330581902,-0.0,5.833333333333333,0
0,PINN,th0.1,7,0.1,0.0,-0.013013837439638876,0.0,-0.030558285676470027,-0.0,5.841666666666667,0
0,PINN,th0.1,8,0.1,0.0,0.20958008214711477,-0.0,0.02969112918613518,-0.0,3.075,0
0,PINN,th0.1,9,0.1,0.0,0.0014015503006791167,-0.0,0.044038507508848995,-0.0,5.833333333333333,0
0,PINN,th0.1,10,0.1,0.0,0.05766132616378307,-0.0,0.00010561822917970012,-0.0,3.591666666666667,0
0,PINN,th0.1,11,0.1,0.0,0.20574815086388135,-0.0,-0.05460999513310421,0.0,2.466666666666667,0
0,PINN,th0.1,12,0.1,0.0,0.0610820114244649,-0.0,-0.04871397566333149,-0.0,3.3333333333333335,0
0,PINN,th0.1,13,0.1,0.0,0.03837911327840581,0.0,0.10225685591982621,-0.0,5.833333333333333,0
0,PINN,th0.1,14,0.1,0.0,-0.004776394768872343,0.0,0.16743645740261406,-0.0,5.591666666666667,0
0,PINN,th0.1,15,0.1,0.0,-0.08886368518252938,-0.0,0.1391658260501605,0.0,4.708333333333333,0
0,PINN,th0.1,16,0.1,0.0,0.03870924987228081,-0.0,0.21454538299916903,-0.0,5.591666666666667,0
