side,subset,model,level,sigma_theta_deg,sigma_omega,n,median,q25,q75,mean,std,min,max,cens_frac,median_of_trial_medians,n_trials,median_vs_ideal
insim,all50,PINN,clean,0.0,0.0,50.0,1.5416666666666667,0.8541666666666667,2.64375,2.2685,2.2029261165678458,0.11666666666666667,10.0,0.02,1.5416666666666667,50.0,
insim,all50,PINN,th0.1,0.1,0.0,1000.0,1.4666666666666666,0.825,2.65,2.230366666666667,2.149702868144851,0.11666666666666667,10.0,0.017,1.5375,50.0,
insim,all50,PINN,th0.45,0.45,0.0,1000.0,1.4541666666666666,0.80625,2.625,2.142141666666667,2.057291048185223,0.10833333333333334,10.0,0.013,1.4895833333333335,50.0,
insim,all50,PINN,th0.5,0.5,0.0,1000.0,1.45,0.7916666666666666,2.625,2.1434499999999996,2.067392705556416,0.10833333333333334,10.0,0.014,1.44375,50.0,
insim,all50,PINN,th1.0,1.0,0.0,1000.0,1.1833333333333333,0.6833333333333333,2.5104166666666665,1.9720333333333333,1.9712630946142597,0.1,10.0,0.011,1.1958333333333333,50.0,
insim,all50,PINN,w0.03,0.0,0.03,1000.0,1.4625,0.8333333333333334,2.6416666666666666,2.2295083333333334,2.155943800607918,0.11666666666666667,10.0,0.011,1.3875000000000002,50.0,
insim,all50,PINN,w0.09,0.0,0.09,1000.0,1.4,0.8166666666666667,2.625,2.176433333333333,2.138131250705916,0.10833333333333334,10.0,0.009,1.38125,50.0,
insim,all50,PINN,w0.2,0.0,0.2,1000.0,1.2333333333333334,0.6916666666666667,2.177083333333333,1.9549333333333334,2.0160566589830773,0.1,10.0,0.008,1.3291666666666666,50.0,
insim,all50,PINN,joint_0.45_0.09,0.45,0.09,1000.0,1.3833333333333333,0.7833333333333333,2.5125,2.089566666666667,2.0478346409602306,0.10833333333333334,10.0,0.009,1.3083333333333333,50.0,
insim,all50,PINN,det_joint_0.45_0.09,0.45,0.09,50.0,1.4333333333333333,0.81875,2.7145833333333336,2.277833333333333,2.280036108090179,0.11666666666666667,10.0,0.02,1.4333333333333333,50.0,
insim,chaos_pinn,PINN,clean,0.0,0.0,49.0,1.475,0.8416666666666667,2.625,2.1107142857142858,1.9191755922019498,0.11666666666666667,8.583333333333334,0.0,1.475,49.0,
insim,chaos_pinn,PINN,th0.1,0.1,0.0,980.0,1.4291666666666667,0.8166666666666667,2.625,2.0720323129251703,1.8603349188226197,0.11666666666666667,9.791666666666666,0.0,1.4666666666666666,49.0,
insim,chaos_pinn,PINN,th0.45,0.45,0.0,980.0,1.375,0.7979166666666667,2.5,1.982372448979592,1.7439221915891858,0.10833333333333334,9.775,0.0,1.45,49.0,
insim,chaos_pinn,PINN,th0.5,0.5,0.0,980.0,1.3875,0.7833333333333333,2.5104166666666665,1.983715986394558,1.7562300726400177,0.10833333333333334,10.0,0.0010204081632653062,1.3541666666666667,49.0,
insim,chaos_pinn,PINN,th1.0,1.0,0.0,980.0,1.15,0.675,2.3854166666666665,1.821998299319728,1.674257480800421,0.1,10.0,0.0010204081632653062,1.1958333333333333,49.0,
insim,chaos_pinn,PINN,w0.03,0.0,0.03,980.0,1.4,0.8166666666666667,2.6333333333333333,2.0717261904761903,1.8700212101118803,0.11666666666666667,9.783333333333333,0.0,1.3666666666666667,49.0,
insim,chaos_pinn,PINN,w0.09,0.0,0.09,980.0,1.3541666666666667,0.8145833333333333,2.533333333333333,2.0254931972789114,1.8704820453286102,0.10833333333333334,10.0,0.0010204081632653062,1.3625,49.0,
insim,chaos_pinn,PINN,w0.2,0.0,0.2,980.0,1.1791666666666667,0.6729166666666667,2.1333333333333333,1.8246938775510204,1.7943355279251474,0.1,10.0,0.0010204081632653062,1.325,49.0,
insim,chaos_pinn,PINN,joint_0.45_0.09,0.45,0.09,980.0,1.3291666666666666,0.775,2.36875,1.9438775510204085,1.7815864063957765,0.10833333333333334,10.0,0.0020408163265306124,1.2875,49.0,
insim,chaos_pinn,PINN,det_joint_0.45_0.09,0.45,0.09,49.0,1.3916666666666666,0.8166666666666667,2.658333333333333,2.1202380952380953,2.00977213329715,0.11666666666666667,8.05,0.0,1.3916666666666666,49.0,
insim,chaos_own,PINN,clean,0.0,0.0,49.0,1.475,0.8416666666666667,2.625,2.1107142857142858,1.9191755922019498,0.11666666666666667,8.583333333333334,0.0,1.475,49.0,
insim,chaos_own,PINN,th0.1,0.1,0.0,980.0,1.4291666666666667,0.8166666666666667,2.625,2.0720323129251703,1.8603349188226197,0.11666666666666667,9.791666666666666,0.0,1.4666666666666666,49.0,
insim,chaos_own,PINN,th0.45,0.45,0.0,980.0,1.375,0.7979166666666667,2.5,1.982372448979592,1.7439221915891858,0.10833333333333334,9.775,0.0,1.45,49.0,
insim,chaos_own,PINN,th0.5,0.5,0.0,980.0,1.3875,0.7833333333333333,2.5104166666666665,1.983715986394558,1.7562300726400177,0.10833333333333334,10.0,0.0010204081632653062,1.3541666666666667,49.0,
insim,chaos_own,PINN,th1.0,1.0,0.0,980.0,1.15,0.675,2.3854166666666665,1.821998299319728,1.674257480800421,0.1,10.0,0.0010204081632653062,1.1958333333333333,49.0,
insim,chaos_own,PINN,w0.03,0.0,0.03,980.0,1.4,0.8166666666666667,2.6333333333333333,2.0717261904761903,1.8700212101118803,0.11666666666666667,9.783333333333333,0.0,1.3666666666666667,49.0,
insim,chaos_own,PINN,w0.09,0.0,0.09,980.0,1.3541666666666667,0.8145833333333333,2.533333333333333,2.0254931972789114,1.8704820453286102,0.10833333333333334,10.0,0.0010204081632653062,1.3625,49.0,
insim,chaos_own,PINN,w0.2,0.0,0.2,980.0,1.1791666666666667,0.6729166666666667,2.1333333333333333,1.8246938775510204,1.7943355279251474,0.1,10.0,0.0010204081632653062,1.325,49.0,
insim,chaos_own,PINN,joint_0.45_0.09,0.45,0.09,980.0,1.3291666666666666,0.775,2.36875,1.9438775510204085,1.7815864063957765,0.10833333333333334,10.0,0.0020408163265306124,1.2875,49.0,
insim,chaos_own,PINN,det_joint_0.45_0.09,0.45,0.09,49.0,1.3916666666666666,0.8166666666666667,2.658333333333333,2.1202380952380953,2.00977213329715,0.11666666666666667,8.05,0.0,1.3916666666666666,49.0,
insim,all50,MLP_lam0,clean,0.0,0.0,50.0,1.3,0.56875,1.9270833333333335,2.0806666666666667,2.5082875331999617,0.13333333333333333,10.0,0.06,1.3,50.0,
insim,all50,MLP_lam0,th0.1,0.1,0.0,1000.0,1.2916666666666667,0.5666666666666667,1.9333333333333333,2.048808333333333,2.3759805671032903,0.13333333333333333,10.0,0.045,1.3,50.0,
insim,all50,MLP_lam0,th0.45,0.45,0.0,1000.0,1.1916666666666667,0.5729166666666666,2.060416666666667,1.8873916666666666,2.1113691137423176,0.13333333333333333,10.0,0.029,1.2479166666666668,50.0,
insim,all50,MLP_lam0,th0.5,0.5,0.0,1000.0,1.1916666666666667,0.5666666666666667,2.1,1.8728333333333336,2.099256969565354,0.13333333333333333,10.0,0.029,1.2479166666666668,50.0,
insim,all50,MLP_lam0,th1.0,1.0,0.0,1000.0,1.0875,0.55,1.8833333333333333,1.688,1.9819046468896266,0.125,10.0,0.023,1.1520833333333333,50.0,
insim,all50,MLP_lam0,w0.03,0.0,0.03,1000.0,1.2833333333333334,0.5666666666666667,1.94375,2.0584,2.386354050310056,0.13333333333333333,10.0,0.04,1.2958333333333334,50.0,
insim,all50,MLP_lam0,w0.09,0.0,0.09,1000.0,1.2,0.575,2.020833333333333,1.8969166666666668,2.0798161685632794,0.125,10.0,0.02,1.2833333333333332,50.0,
insim,all50,MLP_lam0,w0.2,0.0,0.2,1000.0,1.1125,0.5333333333333333,1.8583333333333334,1.6066500000000001,1.7809828855577925,0.11666666666666667,10.0,0.013,1.175,50.0,
insim,all50,MLP_lam0,joint_0.45_0.09,0.45,0.09,1000.0,1.1666666666666667,0.58125,1.9520833333333334,1.75945,1.8897001887050975,0.13333333333333333,10.0,0.014,1.28125,50.0,
insim,all50,MLP_lam0,det_joint_0.45_0.09,0.45,0.09,50.0,1.3041666666666667,0.5895833333333333,1.9416666666666667,1.719,1.7578436465494551,0.125,8.833333333333334,0.0,1.3041666666666667,50.0,
insim,chaos_pinn,MLP_lam0,clean,0.0,0.0,49.0,1.2833333333333334,0.5666666666666667,1.9083333333333334,1.998639455782313,2.4655927108731497,0.13333333333333333,10.0,0.061224489795918366,1.2833333333333334,49.0,
insim,chaos_pinn,MLP_lam0,th0.1,0.1,0.0,980.0,1.2833333333333334,0.5666666666666667,1.9083333333333334,1.9660714285714285,2.3276579435345837,0.13333333333333333,10.0,0.04591836734693878,1.2833333333333334,49.0,
insim,chaos_pinn,MLP_lam0,th0.45,0.45,0.0,980.0,1.175,0.5666666666666667,1.9166666666666667,1.8013180272108846,2.044047750333758,0.13333333333333333,10.0,0.02959183673469388,1.2166666666666666,49.0,
insim,chaos_pinn,MLP_lam0,th0.5,0.5,0.0,980.0,1.175,0.5583333333333333,1.9166666666666667,1.7864625850340137,2.0306462002937806,0.13333333333333333,10.0,0.02959183673469388,1.2166666666666666,49.0,
insim,chaos_pinn,MLP_lam0,th1.0,1.0,0.0,980.0,1.0666666666666667,0.5416666666666666,1.8333333333333333,1.599855442176871,1.9016673519809855,0.125,10.0,0.02346938775510204,1.15,49.0,
insim,chaos_pinn,MLP_lam0,w0.03,0.0,0.03,980.0,1.275,0.5666666666666667,1.9333333333333333,1.9758758503401361,2.3388372961255404,0.13333333333333333,10.0,0.04081632653061224,1.2833333333333334,49.0,
