frame,t,x_m1_px,y_m1_px,x_m2_px,y_m2_px,area_m1,area_m2,th1,th2,w1,w2
0,0.0,1266.7223587223586,497.2776412776413,1492.4979079497907,766.7029288702929,407,239,0.6644185440954558,0.6974798649429701,0.0,0.0048650124622714
1,0.0166735990756787,1266.7223587223586,497.2776412776413,1492.5400843881855,766.7088607594936,407,237,0.6644185440954558,0.6975609822102642,0.0016470342529238,-0.0034339825134739
2,0.0333471981513575,1266.7671568627452,497.296568627451,1492.535864978903,766.7763713080169,408,237,0.6644734680730501,0.697365351247645,0.0044397639920164,-0.009422673710988
3,0.0500207972270363,1266.7665847665849,497.2309582309582,1492.535864978903,766.7763713080169,407,237,0.6645665977850428,0.6972467624429083,0.0,0.0105275874906222
4,0.0666943963027151,1266.7671568627452,497.296568627451,1492.396551724138,766.4181034482758,408,232,0.6644734680730501,0.6977164167937505,0.0022627730083801,-0.0046530805965747
5,0.0833679953783939,1266.8004926108374,497.2216748768473,1492.540425531915,766.8170212765957,406,235,0.6646420549249248,0.6970915952422401,0.0050555027474727,-0.0349695496163867
6,0.1000415944540727,1266.8004926108374,497.2216748768473,1492.5974025974026,767.1818181818181,406,231,0.6646420549249248,0.6965502802934291,0.0006681542385031,-0.0043158495000844
7,0.1167151935297515,1266.824691358025,497.23703703703706,1492.628205128205,766.9871794871794,405,234,0.6646643359967118,0.6969476737537693,0.0042755099953964,-0.0087296450356803
8,0.1333887926054303,1266.841975308642,497.17530864197533,1492.595652173913,767.2434782608696,405,230,0.6647846312039394,0.6962591710906333,0.0140164583305279,-0.0239821595932317
9,0.1500623916811092,1266.9951338199514,497.1289537712896,1492.6347826086956,767.1217391304348,411,230,0.6651317456100402,0.6961479359257163,0.0173735918114425,0.0112086267224313
10,0.1667359907567879,1267.078624078624,497.07371007371006,1492.8177966101696,766.9194915254237,407,236,0.6653639918126764,0.6966329473869508,0.0069644892378078,0.0151119886645566
11,0.1834095898324667,1267.078624078624,497.07371007371006,1492.921487603306,767.0330578512396,407,242,0.6653639918126764,0.6966518784061744,-0.0065296411865301,0.0055716877054056
12,0.2000831889081455,1267.009828009828,497.13759213759215,1492.941908713693,767.1120331950208,407,241,0.6651462465741719,0.6968187475609005,-0.0022533002328638,-0.0125377658722235
13,0.2167567879838243,1267.004938271605,497.0320987654321,1492.6,766.9244444444445,405,225,0.6652888505633165,0.696233779043258,0.0049929709659088,0.0173895972574944
14,0.2334303870595031,1267.029702970297,497.0470297029703,1492.8097345132744,766.5221238938053,404,226,0.665312748166336,0.6973986419064184,0.0007166300122425,0.023602545474305
15,0.250103986135182,1267.029702970297,497.0470297029703,1492.8,766.7173913043479,404,230,0.665312748166336,0.6970208578040661,0.0182063683498173,-0.021201081987822
16,0.2667775852108607,1267.2125,496.8575,1492.8521739130435,766.5521739130435,400,230,0.665919879539314,0.6966916452243473,0.0353784055778999,-0.0311534429104002
17,0.2834511842865395,1267.44776119403,496.7587064676617,1492.895652173913,766.6130434782609,402,230,0.6664925188674213,0.695981977770236,0.0298466536933304,-0.0138800069351451
18,0.3001247833622184,1267.6477832512314,496.7192118226601,1492.9301310043668,766.240174672489,406,229,0.6669151818141804,0.6962287858827388,0.0164184257144669,0.0058502689987313
19,0.3167983824378971,1267.6953316953318,496.6928746928747,1492.9650655021835,766.2270742358079,407,229,0.667040027363055,0.6961770678497754,0.0122931480891716,0.0088398562272335
20,0.3334719815135759,1267.7843137254902,496.6078431372549,1493.0829694323145,765.9868995633187,408,229,0.667325123859414,0.6965235703199779,0.0091678773930271,0.0095127638492314
21,0.3501455805892547,1267.7610837438424,496.564039408867,1493.0829694323145,765.9868995633187,406,229,0.6673457503871076,0.6964942918708228,0.0006185385530746,-0.0008779882802217
22,0.3668191796649335,1267.7610837438424,496.564039408867,1493.0829694323145,765.9868995633187,406,229,0.6673457503871076,0.6964942918708228,-0.0120647357239637,0.0237097794912615
23,0.3834927787406123,1267.602977667494,496.6426799007445,1493.1061946902655,765.8495575221239,403,226,0.6669434252542769,0.6972849465856429,-0.0339802196630704,0.0534743563694727
24,0.4001663778162911,1267.2824427480916,496.7430025445293,1493.1163793103449,765.801724137931,393,232,0.6662126052687766,0.6982775118286919,-0.03011359827519,0.0144862731514876
25,0.4168399768919699,1267.3071065989848,496.9644670050762,1493.025974025974,766.1645021645022,394,231,0.6659392211255437,0.6977680232069002,-0.0114385824901016,-0.0088981682109356
26,0.4335135759676487,1267.260101010101,496.979797979798,1492.8227272727272,765.8772727272727,396,220,0.6658311605919085,0.6979807828501777,-0.0014126035074899,-0.0053068736587309
27,0.4501871750433275,1267.27959697733,496.96221662468514,1492.7318181818182,765.9409090909091,397,220,0.6658921147564701,0.6975910538394383,0.0095532416793055,-0.0145651633352202
28,0.4668607741190063,1267.3358395989974,496.8546365914787,1492.7077625570776,765.7899543378995,399,219,0.6661497344351761,0.6974950754623312,0.0109375572391039,-0.002116407781897
29,0.4835343731946851,1267.388471177945,496.8471177944862,1492.8097345132744,765.8274336283185,399,226,0.6662568516450144,0.6975204775697663,0.0014407378929096,0.0128972843730795
30,0.500207972270364,1267.3618090452262,496.8542713567839,1492.9338842975208,765.7933884297521,398,242,0.6661977790071751,0.6979251637599347,-0.0438015701551412,0.0773789576278913
31,0.5168815713460427,1266.7775,497.085,1493.3040752351096,765.9717868338558,400,319,0.6647961920057103,0.7001008490025291,-0.1809317825004343,0.2450887426942671
32,0.5335551704217215,1265.1393034825871,498.2189054726368,1493.914798206278,766.493273542601,402,446,0.6601642110042548,0.7060981866272276,-0.3945836582034668,0.2739920574120824
33,0.5502287694974003,1262.2568578553617,500.47630922693264,1493.7199391171994,770.1826484018264,401,657,0.6516379325683117,0.709237716432948,-0.6838602845653233,0.0610227136817358
34,0.5669023685730791,1257.171717171717,503.91161616161617,1488.76912568306,774.3784153005464,396,732,0.6373593865870112,0.708133123152106,-1.0000089853046912,-0.1603195217586909
35,0.583575967648758,1250.4227848101266,508.5392405063291,1480.4123159303883,779.4457831325301,395,747,0.6182904347822181,0.70389150957333,-1.2919895986197043,-0.3343612578095511
36,0.6002495667244367,1242.0683544303797,514.5696202531645,1469.3799185888738,786.101763907734,395,737,0.5942751534323469,0.6969831120337937,-1.6246337123411714,-0.4910163794575822
37,0.6169231658001155,1231.1206030150754,521.4673366834171,1455.3859416445623,794.5716180371353,398,754,0.5641134524534014,0.6875174890719958,-1.9003241124774128,-0.7749026224836307
38,0.6335967648757943,1218.8872180451128,528.7543859649123,1437.8674863387978,804.5081967213115,399,732,0.5309046687017599,0.6711422807338254,-2.0845302619851416,-1.1006328506118943
39,0.6502703639514731,1205.27806122449,536.3010204081633,1418.0119680851064,815.6662234042553,392,752,0.4946002087544815,0.6508144673107474,-2.2474691254801176,-1.4073119691601008
40,0.6669439630271519,1190.4347826086955,543.6393861892583,1395.0768211920529,827.7509933774835,391,755,0.455957870435316,0.6242123696374663,-2.3458133482809504,-1.870033969211395
41,0.6836175621028306,1175.0598958333333,550.7838541666666,1368.73489010989,841.0123626373627,384,728,0.416373906203257,0.5884540739896853,-2.375760817538168,-2.3706779935451707
42,0.7002911611785095,1159.3051282051283,557.1025641025641,1339.7894736842106,854.7049861495844,390,722,0.3767329036926394,0.5451569008336526,-2.376002174474953,-2.879072678183437
43,0.7169647602541883,1143.3905013192611,562.9208443271768,1307.563611491108,868.9097127222982,379,731,0.3371408908829842,0.4924450668981424,-2.371337593149897,-3.406797457608139
44,0.7336383593298671,1127.220430107527,567.8118279569892,1272.4864048338368,883.2658610271903,372,662,0.2976554390901064,0.4315497509532527,-2.3351364456765733,-3.826902624292026
45,0.7503119584055459,1111.395225464191,572.1458885941645,1234.9911634756995,895.7584683357879,377,679,0.2592706331185507,0.3648285867799258,-2.2936339176742817,-4.206458237692187
46,0.7669855574812247,1095.5625,575.9401041666666,1195.029366306028,907.7140649149924,384,647,0.2211691743507475,0.2912761545855209,-2.2348592650524632,-4.5694489580464746
47,0.7836591565569034,1080.3064935064936,579.0103896103897,1153.3728278041074,917.742496050553,385,633,0.1847443383664488,0.2124502669334355,-2.2258074696486188,-4.787929358220848
48,0.8003327556325823,1064.381471389646,581.6839237057221,1109.9123376623377,925.6314935064936,367,616,0.1469447316136032,0.1316121255422279,-2.3143360410877505,-4.752796689821567
49,0.8170063547082611,1047.6908602150538,583.7741935483871,1066.4473684210527,931.0510835913312,372,646,0.1075677158154671,0.0539578139448393,-2.433506763590545,-4.605928259969017
50,0.8336799537839399,1029.931216931217,585.5767195767196,1022.2651162790696,934.2542635658916,378,645,0.0657940993654803,-0.0219826768138965,-2.621353146491064,-4.405875098426953
51,0.8503535528596187,1010.4441416893732,586.5177111716621,977.9219968798752,935.3385335413416,367,641,0.0201529330147448,-0.0929657759925364,-2.8478607751859863,-4.004323878807049
52,0.8670271519352974,989.3505434782608,586.6467391304348,934.839753466872,934.3328197226502,368,649,-0.0291740782121255,-0.155515658662688,-3.10228022248782,-3.543291847649914
53,0.8837007510109762,966.2371967654988,585.3423180592991,892.1445603576751,931.0551415797318,371,671,-0.0832994202855941,-0.211124631344208,-3.314986157984353,-3.1274031702718146
54,0.900374350086655,942.241935483871,582.755376344086,851.0550595238095,925.8035714285714,372,672,-0.1397195784914373,-0.2598057918809262,-3.445814087928708,-2.7717875829103926
55,0.917047949162334,917.5703324808184,578.5805626598466,811.0028985507247,918.7942028985508,391,690,-0.1982076654684923,-0.3035559811049934,-3.548186927700958,-2.4151845726905967
56,0.9337215482380128,892.5642317380352,573.0579345088162,773.0984848484849,910.4121212121212,397,660,-0.2580416710475379,-0.3403454303985414,-3.5567949040075164,-2.089312097796506
57,0.9503951473136916,868.5491183879093,565.5743073047859,737.472182596291,900.3109843081312,397,701,-0.3168168099161699,-0.3732286856302421,-3.460504516500675,-1.9248732711222667
58,0.9670687463893702,845.7281795511221,557.4538653366584,703.85734870317,888.8126801152738,401,694,-0.3734398008629538,-0.4045345607869075,-3.2957286732482993,-1.86296960349758
59,0.983742345465049,824.8444444444444,548.3308641975309,672.3062678062678,876.2877492877493,405,702,-0.4267201270360918,-0.435353502148032,-3.0379036354639277,-1.8289843122177751
60,1.000415944540728,806.378313253012,539.3518072289156,643.5525946704067,863.4796633941094,415,713,-0.474745375359499,-0.4655260630621581,-2.6984041948647643,-1.9235153584291669
61,1.017089543616407,790.5641646489104,530.8789346246973,616.498595505618,849.8848314606741,413,712,-0.5167043464147016,-0.4994973499527491,-2.3236237173387657,-2.0550532648331417
62,1.0337631426920857,777.3951219512195,523.2951219512195,592.2629370629371,836.3468531468532,410,715,-0.552231715890789,-0.5340563314961433,-1.9042181320359732,-2.187256221587055
63,1.0504367417677642,767.3252427184466,516.8300970873786,569.888583218707,823.2132049518569,412,727,-0.5802046857871133,-0.5724362165818023,-1.4425145902488086,-2.322527381648838
64,1.067110340843443,760.1050119331742,512.1336515513126,550.5969316596932,810.9344490934449,419,717,-0.6003355357680404,-0.6115061123039408,-1.0205888038056647,-2.34072648055677
65,1.0837839399191218,755.1376146788991,508.855504587156,534.3470839260312,798.9943100995732,436,703,-0.6142384628586778,-0.6504928863470588,-0.615322625771302,-2.371205792073164
66,1.1004575389948006,752.9284064665127,507.0762124711316,520.5261707988981,788.3292011019283,433,726,-0.6208548212966497,-0.6905791817098514,-0.2346909563123229,-2.330695243243987
67,1.1171311380704794,752.5174013921114,506.76102088167056,510.0,778.7304964539007,431,705,-0.6220647486831564,-0.7282150424539426,0.1237604991402529,-2.194389286206535
